year,mu,s,week,fitted_cdf,year_group
2017,18.525382173135974,1.528833163592439,16,0.1608609177841563,Other
1990,17.851895029727196,1.0565709543451416,16,0.14770183522876115,Other
1997,17.467770373014034,0.7893501202363457,16,0.1347652082996888,Other
2006,17.23807444335008,0.6440647953481751,16,0.12760726124565358,Other
2004,18.24932551046021,1.1659938474108666,16,0.12684958598935975,Other
1988,17.326824069178695,0.636183026192589,16,0.11050420762167949,Other
1982,17.164317134528158,0.5182813754478109,16,0.09565212528252466,Other
1985,17.461869371428108,0.6416841736675388,16,0.09294663073687229,Other
2008,19.51236278632033,1.351842174817684,16,0.06925404772654378,Other
2016,19.383594976591883,1.2951375381933548,16,0.06833589411177651,Other
1999,17.550566308908664,0.5529471323010038,16,0.05709842010615934,Other
1995,19.483719479113137,1.237528484154592,16,0.05651565695454152,Other
2021,19.016865825313612,1.0627491634643094,16,0.055266422323395764,Other
1983,19.955213158039424,1.3627927890379434,16,0.052040719698485456,Other
2018,19.11968047659817,0.9543178740683612,16,0.03664955104578448,2018
2020,19.99935456745787,1.1554081864958052,16,0.03043006956900145,Other
1981,21.647102462008604,1.624256797100034,16,0.02998163203542689,Other
1986,18.447153325224846,0.6898973000028762,16,0.02800066178638752,Other
2014,19.913683005379703,1.0955557141637242,16,0.027322905814769684,Other
1989,22.04114077726732,1.6542699420372284,16,0.025287138209727916,Other
2007,18.12642902028725,0.5690248741527212,16,0.023271705625614245,Other
1987,18.331379908949984,0.6163061628700899,16,0.02225183820652968,Other
2022,20.012923021399583,1.0097496888443964,16,0.01844805409380431,Other
2015,19.051423306698773,0.7531476674842027,16,0.01709778938107254,Other
1980,18.62132385647612,0.6433192980254367,16,0.01671347029825956,Other
2003,17.50002707329803,0.35719505789524125,16,0.014781864692621632,Other
1984,20.32815839383654,0.9724513135827503,16,0.011534954923346026,Other
2000,18.12095130340071,0.47397641129073054,16,0.011264134335406765,Other
1979,18.75976007155734,0.6116147500995176,16,0.010854600756908722,Other
